Model,Year,Mileage,Fuel,Gearbox,Horsepower ,Price,Link to advertisement
Volvo V60,2020,9689,2,0,191,289900,https://www.blocket.se/annons/1001255670
Volvo V60,2020,13465,2,0,192,244000,https://www.blocket.se/annons/1001180333
Volvo V60,2020,14083,0,0,392,299500,https://www.blocket.se/annons/1001164690
Volvo V60,2020,11200,2,0,191,249999,https://www.blocket.se/annons/1000856959
Volvo V60,2020,14326,1,0,191,259900,https://www.blocket.se/annons/1000456108
Volvo V60,2021,7070,0,0,344,339500,https://www.blocket.se/annons/1001250896
Volvo V60,2021,5953,0,0,396,399500,https://www.blocket.se/annons/1001139554
Volvo V60,2021,6520,0,0,396,435000,https://www.blocket.se/annons/1000639614
Volvo V60,2021,10987,2,0,198,255000,https://www.blocket.se/annons/1001250158
Volvo V60,2021,8099,2,0,198,325000,https://www.blocket.se/annons/1001250006
Volvo V60,2021,8082,2,0,198,279900,https://www.blocket.se/annons/1001251168
Volvo V60,2021,12329,0,0,391,359800,https://www.blocket.se/annons/1001251001
Volvo V60,2021,7931,0,0,344,369900,https://www.blocket.se/annons/1001250913
Volvo V60,2021,2671,1,0,200,319000,https://www.blocket.se/annons/1001249486
Volvo V60,2021,4921,0,0,344,374500,https://www.blocket.se/annons/1001249459
Volvo V60,2021,7531,0,0,344,325000,https://www.blocket.se/annons/1001249433
Volvo V60,2021,11200,2,0,191,269000,https://www.blocket.se/annons/1001110868
Volvo V60,2021,9884,1,0,164,225000,https://www.blocket.se/annons/1001248325
Volvo V60,2021,2600,0,0,391,479900,https://www.blocket.se/annons/1001248315
Volvo V60,2021,11261,0,0,344,348500,https://www.blocket.se/annons/1000958277
Volvo V60,2021,4543,1,0,165,284000,https://www.blocket.se/annons/1000854684
Volvo V60,2021,12524,2,0,198,249900,https://www.blocket.se/annons/1001247003
Volvo V60,2021,9977,1,0,200,269900,https://www.blocket.se/annons/1001211544
Volvo V60,2021,12783,2,0,200,289000,https://www.blocket.se/annons/1001121259
Volvo V60,2021,9280,2,0,191,289500,https://www.blocket.se/annons/1001246765
Volvo V60,2021,6557,0,0,253,339000,https://www.blocket.se/annons/1001027527
Volvo V60,2021,4459,0,0,391,424900,https://www.blocket.se/annons/1001246460
Volvo V60,2021,7850,1,0,164,299800,https://www.blocket.se/annons/1001245979
Volvo V60,2021,1880,0,0,340,369000,https://www.blocket.se/annons/1000598413
Volvo V60,2021,4960,1,0,200,319900,https://www.blocket.se/annons/1001244563
Volvo V60,2021,10054,0,0,340,299000,https://www.blocket.se/annons/1001243642
Volvo V60,2021,10197,0,0,340,319900,https://www.blocket.se/annons/1001243397
Volvo V60,2021,7874,1,0,200,299900,https://www.blocket.se/annons/1001243230
Volvo V60,2021,24820,2,0,198,218000,https://www.blocket.se/annons/1001182749
Volvo V60,2021,14972,2,0,198,274100,https://www.blocket.se/annons/1001048365
Volvo V60,2021,8595,2,0,198,269000,https://www.blocket.se/annons/1001242695
Volvo V60,2021,18219,2,0,200,209900,https://www.blocket.se/annons/1001045391
Volvo V60,2021,5653,0,0,253,339900,https://www.blocket.se/annons/1001242622
Volvo V60,2021,3533,2,0,192,339900,https://www.blocket.se/annons/1001242044
Volvo V60,2021,9298,0,0,406,494900,https://www.blocket.se/annons/1001211599
Volvo V60,2021,7147,1,0,198,269000,https://www.blocket.se/annons/1001241540
Volvo V60,2021,11260,2,0,198,309000,https://www.blocket.se/annons/1001241407
Volvo V60,2021,7200,0,0,253,329900,https://www.blocket.se/annons/1001241043
Volvo V60,2021,14745,0,0,342,269000,https://www.blocket.se/annons/1001240759
Volvo V60,2021,5090,1,0,198,297000,https://www.blocket.se/annons/1001193286
Volvo V60,2021,7638,0,0,344,349500,https://www.blocket.se/annons/1001240270
Volvo V60,2021,12858,0,0,344,339000,https://www.blocket.se/annons/1000529966
Volvo V60,2021,9566,2,0,198,319900,https://www.blocket.se/annons/1001240217
Volvo V60,2021,7416,1,0,165,249000,https://www.blocket.se/annons/1001175372
Volvo V60,2021,12242,2,0,198,304000,https://www.blocket.se/annons/1001239660
Volvo V60,2021,2919,0,0,344,349000,https://www.blocket.se/annons/1001238920
Volvo V60,2021,14783,0,0,198,269800,https://www.blocket.se/annons/1000864667
Volvo V60,2021,8459,2,0,198,279900,https://www.blocket.se/annons/1001091251
Volvo V60,2021,8577,0,0,396,369000,https://www.blocket.se/annons/1001238387
Volvo V60,2021,7204,1,0,165,282900,https://www.blocket.se/annons/1000992191
Volvo V60,2021,7045,2,0,198,328900,https://www.blocket.se/annons/1001222390
Volvo V60,2021,6470,2,0,192,339900,https://www.blocket.se/annons/1001237490
Volvo V60,2021,5679,0,0,344,339900,https://www.blocket.se/annons/1001237326
Volvo V60,2021,15100,0,0,340,289900,https://www.blocket.se/annons/1000386699
Volvo V60,2021,2681,0,0,344,399900,https://www.blocket.se/annons/1001236637
Volvo V60,2021,6508,2,0,191,339800,https://www.blocket.se/annons/1001057329
Volvo V60,2021,6852,2,0,198,284900,https://www.blocket.se/annons/1001025029
Volvo V60,2021,12697,2,0,198,289800,https://www.blocket.se/annons/1001075324
Volvo V60,2021,16300,0,0,253,274900,https://www.blocket.se/annons/1001131972
Volvo V60,2021,8986,2,0,191,259900,https://www.blocket.se/annons/1001236358
Volvo V60,2021,8307,2,0,198,269500,https://www.blocket.se/annons/1001236268
Volvo V60,2021,10137,2,0,198,309900,https://www.blocket.se/annons/1001235481
Volvo V60,2021,3549,0,0,344,399800,https://www.blocket.se/annons/1001234364
Volvo V60,2021,3778,0,0,344,429900,https://www.blocket.se/annons/1001234149
Volvo V60,2021,6600,0,0,344,389800,https://www.blocket.se/annons/1001233778
Volvo V60,2021,8480,2,0,191,267900,https://www.blocket.se/annons/1001005540
Volvo V60,2021,6990,0,0,406,498000,https://www.blocket.se/annons/1001104154
